	sample_34-34	sample_47-47	sample_23-23	sample_09-09	sample_60-60	sample_35-35	sample_40-40	sample_80-80	sample_55-55	sample_45-45	sample_95-95	sample_66-66	sample_36-36	sample_62-62	sample_77-77	sample_18-18	sample_81-81	sample_94-94	sample_11-11	sample_87-87	sample_52-52	sample_65-65	sample_88-88	sample_79-79	sample_41-41	sample_25-25	sample_49-49	sample_68-68	sample_24-24	sample_69-69	sample_17-17	sample_93-93	sample_13-13	sample_84-84	sample_86-86	sample_10-10	sample_26-26	sample_50-50	sample_74-74	sample_29-29	sample_72-72	sample_91-91	sample_30-30	sample_85-85	sample_01-01	sample_31-31	sample_51-51	sample_22-22	sample_06-06	sample_78-78	sample_04-04	sample_39-39	sample_82-82	sample_14-14	sample_43-43	sample_32-32	sample_56-56	sample_92-92	sample_03-03	sample_12-12	sample_38-38	sample_76-76	sample_75-75	sample_46-46	sample_19-19	sample_15-15	sample_53-53	sample_67-67	sample_27-27	sample_58-58	sample_54-54	sample_63-63	sample_33-33	sample_02-02	sample_96-96	sample_61-61	sample_16-16	sample_08-08	sample_20-20	sample_57-57	sample_28-28	sample_89-89	sample_05-05	sample_37-37	sample_07-07	sample_42-42	sample_59-59	sample_21-21	sample_73-73	sample_64-64	sample_44-44	sample_83-83	sample_90-90	sample_48-48	sample_70-70
Lambda	0.9686166486360066	0.9656098359961156				0.9700235879098579						0.0021575259789453384		0.012629330999471859						0.03543716619087999			0.020070816999431085	0.020772578000226066	0.9562838650331141			0.041082821000728825							0.0010212159997938174		0.9600500449991715	0.09302683914491171	0.9304357990181705	0.9736736044386848		0.013721532208375931				0.9703926297290264	0.003631291990607983					0.9715896669334353	0.014877331989693175		0.004020631663874962	0.9639407289985338	0.0028986513061177665		0.018362699989609724		0.9636352526231349	0.02601969408352317	0.8859808880007807	0.9723545869993221	0.0010544399997214282		0.07370221059653045	0.9588289082193282			0.0057138209872912415		0.9694272345948595			0.00332310933325401					0.9712187297875281					0.969214032228326	0.10263722100122247		0.19223527459193163			0.9420319939957565	0.9056475170016395		0.0758188000002337
Other			0.82894477171896	0.9061354758511194	0.00112244999989027		0.012930293980716798			0.028045766828760334			0.0011168600096529916	0.0010751100057992725	0.7437212426094065	0.867871496409637			0.8758381236474476	0.014600507475821364		0.0022173197010305224	0.07737547257486094	0.2576460373343819	0.008651690919188519	0.017158181710830892	0.18822131432280897	0.30634744066375075	0.9206061198381736	0.0010447299993906008	0.823708721899143	0.009779668103421214	0.9158257324456809			0.8153448423598362		0.2968436774776322	0.009919864966447286				0.011395012874792037		0.9189155413898212			0.8637022650347342	0.9064575174803726		0.8970345054066895		0.003525596038595125	0.8922978148875474	0.02578578144776453		0.20658389659354667		0.7696847838773196	0.8341948521189329		0.2534359690542951	0.0049116527042379786		0.8561307681252153	0.8738029360493325	0.542565739282464		0.0021002999560483637	0.21459756098374116				0.9281577753078065		0.6715961676334885	0.8691982860258403	0.9018271519506187	0.892733549720695	0.001049662401421445			0.9018070347014092	0.897527714088467	0.8650261506832573		0.03829939174466328	0.8307423124849861	0.419213221566125		0.047816936610198896	0.0010087999988199203	0.00797680290611968	0.04106700803708821	0.00105522000502292
BA.2* [Omicron (BA.2.X)]					0.9368564551617654			0.9329021154036193	0.9372527785275593			0.9327667523859198		0.8875036843764363	0.031120506764335167		0.9296585687252326	0.9287256539034183		0.8227469441812647	0.9294561222223902		0.15294969147261447	0.588915539244996			0.7486775001428586	0.12851628861055714				0.002019090001498514		0.9433773167368935	0.9395846556645142			0.45570837449712814	0.0012984469990577924		0.0010667347354246424						0.0010153126986506096			0.9442747133523259							0.5654645334438408	0.9371010362159585	0.043778776716598425				0.008013209884646324				0.01923482538955839	0.0010036498922182952		0.7267581128702093		0.9321229144723646			0.0030429972455955617	0.004884190030277777				0.001289908944438038		0.9303112503977181					0.6597351831172339		0.0025350040106131696			0.003535972583357975	0.0031378190551408815		
Omicron					0.0032844340098386006			0.007702975798800374			0.9574072260984159	0.0011636461994830722		0.014725612684869303	0.027475480911755886		0.010155730951516397	0.00885557300165761		0.029090265798963264	0.01611786954715226	0.9542731056503219	0.4744369135506114	0.05065257829021669			0.007057861098386596	0.10788454306675625		0.9632771920156394		0.906794050687855		0.004759142469262326	0.006929867999938178			0.02308849124538049			0.9465232880732474	0.9395490301695443		0.962156550818493			0.950782185246896			0.0042205200868401845			0.9259975440142687				0.03515147800450512	0.004485323210589387	0.10615473310128445			0.3703026718882297	0.012344420104637537				0.013926947296316385			0.004903038192292468	0.9558338345680933	0.0011018897550059419			0.9544237170127359	0.12420766911856689				0.9476662823941566		0.010619527966447337					0.06049026488569755		0.2567736071754856	0.9544177516736436		0.002484931977182483	0.0025093122344871455		0.8712472298619196
Gamma							0.9011300657457212			0.884605925237956					0.04551381490929979								0.03312037878212141			0.8805164530704616		0.29115068852361103			0.05027043017344926	0.0014592499540270337											0.8911641856548479												0.8954260488047382		0.07206205386744244	0.0010053799995661937				0.24175763912214496					0.1898504927435382									0.03470370300901891														0.0011611331789745851	0.8726737536994199			0.8772787962857603	
Alpha													0.9478468426085723																																														0.0016838799885173198								0.0010209749984110518									0.0011936700001216364																			
Delta															0.001233679998975215																																												0.01662981479940204																														0.0022516899714661526						
BA.5* [Omicron (BA.5.X)]																							0.11869562434912402	0.0029240689998727963								0.0012306640968825673						0.002153432794220513																			0.0015350500000239204																														0.0010153483002204		0.002939063606702474						
Theta																							0.0010234239960394392																																																																								
BA.2.75* [Omicron (BA.2.75.X)]																							0.0010145399997722887	0.0010762400000971254																																																																							
A																																						0.0010474999954803766										0.001088480302141808			0.0010903899986013208			0.0011920229048274333																																	0.0010062100030253424								
Epsilon																																																																					0.9301938739507987																										
